剧情,喜剧,动作,爱情,科幻,动画,悬疑,惊悚,恐怖,犯罪,传记,历史,战争,西部,奇幻,冒险,纪录片,武侠,sum,剧情,喜剧,动作,爱情,科幻,动画,悬疑,惊悚,恐怖,犯罪,传记,历史,战争,西部,奇幻,冒险,纪录片,武侠
169,73,45,61,16,10,25,11,1,31,10,14,14,1,22,22,6,5,536,0.315298507,0.13619403,0.083955224,0.11380597,0.029850746,0.018656716,0.046641791,0.020522388,0.001865672,0.057835821,0.018656716,0.026119403,0.026119403,0.001865672,0.041044776,0.041044776,0.01119403,0.009328358
107,33,93,27,60,38,12,20,0,18,7,13,13,1,36,40,4,5,527,0.203036053,0.062618596,0.176470588,0.051233397,0.113851992,0.072106262,0.022770398,0.037950664,0,0.034155598,0.013282732,0.024667932,0.024667932,0.001897533,0.068311195,0.075901328,0.007590133,0.009487666
141,70,59,28,25,22,26,29,6,39,13,17,8,0,21,20,16,8,548,0.25729927,0.127737226,0.107664234,0.051094891,0.045620438,0.040145985,0.047445255,0.052919708,0.010948905,0.071167883,0.023722628,0.031021898,0.01459854,0,0.038321168,0.03649635,0.02919708,0.01459854
68,33,17,16,4,23,18,6,0,10,16,7,1,0,16,21,7,0,263,0.258555133,0.125475285,0.064638783,0.060836502,0.015209125,0.087452471,0.068441065,0.022813688,0,0.038022814,0.060836502,0.02661597,0.003802281,0,0.060836502,0.079847909,0.02661597,0
92,50,17,54,2,5,8,11,1,9,3,5,3,0,7,8,2,0,277,0.332129964,0.180505415,0.061371841,0.194945848,0.007220217,0.018050542,0.028880866,0.039711191,0.003610108,0.032490975,0.010830325,0.018050542,0.010830325,0,0.025270758,0.028880866,0.007220217,0
103,33,46,31,23,19,16,12,1,23,4,10,11,1,24,26,12,1,396,0.26010101,0.083333333,0.116161616,0.078282828,0.058080808,0.047979798,0.04040404,0.03030303,0.002525253,0.058080808,0.01010101,0.025252525,0.027777778,0.002525253,0.060606061,0.065656566,0.03030303,0.002525253
410,237,228,111,69,222,61,77,18,80,50,91,69,6,81,90,156,19,2075,0.197590361,0.114216867,0.109879518,0.053493976,0.033253012,0.106987952,0.02939759,0.037108434,0.008674699,0.038554217,0.024096386,0.043855422,0.033253012,0.002891566,0.039036145,0.043373494,0.075180723,0.009156627
340,334,132,89,66,106,83,74,36,63,25,18,25,3,74,109,50,2,1629,0.208717004,0.205033763,0.081031308,0.054634745,0.040515654,0.065070595,0.050951504,0.045426642,0.022099448,0.038674033,0.015346839,0.011049724,0.015346839,0.001841621,0.045426642,0.066912216,0.030693677,0.001227747
99,51,67,31,64,113,14,11,1,14,1,2,6,0,53,58,3,2,590,0.16779661,0.086440678,0.113559322,0.052542373,0.108474576,0.191525424,0.023728814,0.018644068,0.001694915,0.023728814,0.001694915,0.003389831,0.010169492,0,0.089830508,0.098305085,0.005084746,0.003389831
210,136,35,105,20,20,45,18,3,26,10,3,2,0,25,22,13,1,694,0.30259366,0.195965418,0.050432277,0.15129683,0.028818444,0.028818444,0.064841499,0.025936599,0.004322767,0.037463977,0.014409222,0.004322767,0.002881844,0,0.036023055,0.031700288,0.018731988,0.001440922
208,32,18,69,6,4,25,10,1,15,11,25,16,1,12,9,16,4,482,0.43153527,0.066390041,0.037344398,0.143153527,0.012448133,0.008298755,0.05186722,0.020746888,0.002074689,0.031120332,0.022821577,0.05186722,0.033195021,0.002074689,0.024896266,0.018672199,0.033195021,0.008298755
44,34,51,8,34,32,11,8,0,8,3,1,0,0,32,48,0,0,314,0.140127389,0.108280255,0.162420382,0.025477707,0.108280255,0.101910828,0.035031847,0.025477707,0,0.025477707,0.00955414,0.003184713,0,0,0.101910828,0.152866242,0,0
395,130,34,166,37,41,51,32,7,51,16,10,9,0,44,26,14,6,1069,0.36950421,0.12160898,0.031805426,0.155285313,0.034611787,0.038353601,0.047708138,0.029934518,0.006548176,0.047708138,0.014967259,0.009354537,0.008419083,0,0.041159963,0.024321796,0.013096352,0.005612722
470,171,39,249,24,45,44,39,10,45,11,10,7,0,34,17,14,8,1237,0.379951496,0.138237672,0.03152789,0.201293452,0.019401778,0.036378335,0.035569927,0.03152789,0.008084074,0.036378335,0.008892482,0.008084074,0.005658852,0,0.027485853,0.013742926,0.011317704,0.006467259
112,41,24,36,10,11,17,10,1,23,8,8,6,4,9,11,1,3,335,0.334328358,0.12238806,0.071641791,0.107462687,0.029850746,0.032835821,0.050746269,0.029850746,0.002985075,0.068656716,0.023880597,0.023880597,0.017910448,0.011940299,0.026865672,0.032835821,0.002985075,0.008955224
116,70,24,57,9,29,12,19,1,18,12,6,4,0,37,27,0,0,441,0.263038549,0.158730159,0.054421769,0.129251701,0.020408163,0.065759637,0.027210884,0.0430839,0.002267574,0.040816327,0.027210884,0.013605442,0.009070295,0,0.083900227,0.06122449,0,0
345,97,60,193,15,26,41,33,7,38,27,25,27,2,34,20,9,10,1009,0.341922696,0.096134787,0.059464817,0.191278494,0.014866204,0.025768087,0.040634291,0.032705649,0.006937562,0.037661051,0.026759167,0.024777007,0.026759167,0.001982161,0.033696729,0.019821606,0.008919722,0.009910803
