0,1,2
三块广告牌,3.002943037,1
星际穿越,2.916005449,1
至暗时刻,2.824973968,1
绿皮书,2.756827883,1
国王的演讲,2.744901285,1
看不见的客人,2.713189307,1
银翼杀手2049,2.675046462,1
王牌特工：特工学院,2.667444604,1
老炮儿,2.622068765,1
鹿鼎记,2.581828259,1
泰坦尼克号,2.543608528,1
搏击俱乐部,2.528223604,1
她,2.526676308,1
你的名字。,2.450085138,1
狩猎,2.431427107,1
刺客聂隐娘,2.422598273,1
影,2.422473492,1
小偷家族,2.412220857,1
网络谜踪,2.409032749,1
江湖儿女,2.378228701,1
蝙蝠侠：黑暗骑士崛起,2.377950746,1
火星救援,2.361545691,1
大佛普拉斯,2.355169114,1
心迷宫,2.346218445,1
阿甘正传,2.339772177,1
暴雪将至,2.304090811,1
芳华,2.303144046,1
黑天鹅,2.288890702,1
千与千寻,2.285834361,1
消失的爱人,2.266434178,1
波西米亚狂想曲,2.26333972,1
恐怖游轮,2.261900247,1
房间,2.257548517,1
七宗罪,2.249790458,1
暴裂无声,2.235216772,1
夺冠,2.220904151,1
哪吒之魔童降世,2.217877293,1
超能陆战队,2.202730552,1
信条,2.187804493,1
烈日灼心,2.181940706,1
禁闭岛,2.171502768,1
完美陌生人,2.146971734,1
聚焦,2.141890027,1
钢琴家,2.129330181,1
心灵奇旅,2.116086604,1
血观音,2.113099467,1
社交网络,2.093361851,1
忠犬八公的故事,2.090774371,1
十二怒汉,2.070002406,1
布达佩斯大饭店,2.065392211,1
天才枪手,2.02903464,1
萨利机长,2.016139684,1
蚁人,2.007923302,1
神奇动物在哪里,1.992597466,1
疯狂的麦克斯4：狂暴之路,1.986319475,1
一出好戏,1.972211198,1
碟中谍6：全面瓦解,1.962891376,1
水形物语,1.960398665,1
第九区,1.954455378,1
天使爱美丽,1.953934293,1
杀人回忆,1.953571213,1
模仿游戏,1.945307176,1
老无所依,1.945145786,1
南方车站的聚会,1.926631158,1
达拉斯买家俱乐部,1.916662017,1
海王,1.916253226,1
哈利·波特与阿兹卡班的囚徒,1.916144461,1
倩女幽魂,1.913935938,1
闪灵,1.890084556,1
风平浪静,1.882094257,1
伯德小姐,1.876251376,1
复仇者联盟3：无限战争,1.873300001,1
蜘蛛侠：平行宇宙,1.862975574,1
爆裂鼓手,1.85764729,1
刺杀小说家,1.855710535,1
这个男人来自地球,1.847543742,1
独立日,1.844018312,1
小丑,1.832593865,1
碟中谍4,1.825352028,1
湮灭,1.816859569,1
羞羞的铁拳,1.815861275,1
谍影重重2,1.814952884,1
荒蛮故事,1.807443922,1
天空之城,1.80382821,1
本杰明·巴顿奇事,1.803545878,1
疯狂原始人,1.797653668,1
杀死比尔,1.794707896,1
七武士,1.785340714,1
风中有朵雨做的云,1.775238733,1
花样年华,1.774768158,1
美国丽人,1.774390944,1
神奇动物：格林德沃之罪,1.751764323,1
楚门的世界,1.749460511,1
一个叫欧维的男人决定去死,1.748446031,1
撞车,1.747553974,1
奇异博士,1.740101953,1
追龙,1.737846754,1
毒液：致命守护者,1.732924408,1
碟中谍5：神秘国度,1.728369138,1
相爱相亲,1.724542315,1
极速车王,1.720282489,1
穆赫兰道,1.716794042,1
摄影机不要停！,1.712023273,1
缉魂,1.710502253,1
谍影重重5,1.702235892,1
阿丽塔：战斗天使,1.681895457,1
阿飞正传,1.677672663,1
红海行动,1.670126362,1
触不可及,1.667979972,1
猜火车,1.665431851,1
银翼杀手,1.659270952,1
沉默的羔羊,1.656186,1
吉祥如意,1.651333801,1
头脑特工队,1.647788266,1
夏洛特烦恼,1.641998922,1
发条橙,1.64144523,1
谍影重重,1.63389849,1
老男孩,1.627234271,1
美丽心灵,1.625605054,1
源代码,1.617379967,1
西游记之大圣归来,1.617264954,1
金陵十三钗,1.615174498,1
奇迹男孩,1.610611069,1
寻龙诀,1.605944935,1
哈尔的移动城堡,1.605644314,1
变形金刚,1.600861296,1
芝加哥七君子审判,1.594387726,1
飞屋环游记,1.588488711,1
送你一朵小红花,1.584492386,1
纵横四海,1.582205226,1
断背山,1.57471135,1
英雄本色,1.574647655,1
我和我的家乡,1.562711507,1
哈利·波特与凤凰社,1.561376102,1
金刚狼3：殊死一战,1.555941418,1
罗生门,1.552354677,1
朗读者,1.541709216,1
大空头,1.532237085,1
湄公河行动,1.516259802,1
七月与安生,1.515761681,1
无耻混蛋,1.501386815,1
晴雅集,1.496229929,1
新世界,1.49341951,1
东京物语,1.48488008,1
追龙Ⅱ,1.481817217,1
华盛顿邮报,1.479442126,1
神奇女侠1984,1.478221647,1
恐怖直播,1.471245325,1
教父3,1.470505158,1
月球,1.47049878,1
我不是药神,1.469933776,1
香水,1.467266176,1
末路狂花,1.467145404,1
东邪西毒,1.465658447,1
咖啡公社,1.462807681,1
非常嫌疑犯,1.460550367,1
新龙门客栈,1.456425421,1
速度与激情5,1.45229715,1
气球,1.451653168,1
犬之岛,1.442067537,1
那些年，我们一起追的女孩,1.43932552,1
青蛇,1.436467134,1
逃出绝命镇,1.427917135,1
疯狂的外星人,1.420008004,1
X战警：天启,1.419764045,1
最佳出价,1.418870476,1
大闹天宫,1.414106198,1
乔乔的异想世界,1.411169716,1
我和我的祖国,1.400316691,1
海市蜃楼,1.397961739,1
功夫熊猫,1.397174923,1
卡萨布兰卡,1.393752405,1
哈利·波特与死亡圣器(下),1.391449206,1
罗马,1.389370587,1
春光乍泄,1.386966577,1
小萝莉的猴神大叔,1.386839088,1
E.T. 外星人,1.385432043,1
剪刀手爱德华,1.383880352,1
美女与野兽,1.379295932,1
人潮汹涌,1.368606967,1
嘉年华,1.364704992,1
82年生的金智英,1.363661118,1
钢的琴,1.360284744,1
蝴蝶梦,1.355934504,1
终结者2：审判日,1.353526314,1
爱在日落黄昏时,1.352273878,1
傲慢与偏见,1.352168059,1
十二公民,1.350341427,1
深夜食堂,1.344668296,1
祈祷落幕时,1.344416909,1
